,id,Year,Name,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
12572,286,2018,Satyameva Jayate,140 min,"Action, Crime, Drama",5.7,6302,Milap Zaveri,John Abraham,Manoj Bajpayee,Aisha Sharma
8343,287,2018,Love Sonia,122 min,Drama,7.4,1570,Tabrez Noorani,Abhishek Bharate,Riya Sisodiya,Mrunal Thakur
1019,288,2018,Andhadhun,139 min,"Crime, Drama, Music",8.2,77901,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte
9407,289,2018,Mitron,119 min,Comedy,6.9,2334,Nitin Kakkar,Jackky Bhagnani,Kritika Kamra,Prateik
6345,290,2018,Jack & Dil,98 min,"Comedy, Family",7.5,715,Sachin P. Karande,Amit Sadh,Arbaaz Khan,Sonal Chauhan
9388,291,2018,Missing,120 min,"Drama, Mystery, Thriller",5.8,2074,Mukul Abhyankar,Manoj Bajpayee,Tabu,Annu Kapoor
4783,292,2018,FryDay,114 min,"Comedy, Drama",5.2,783,Abhishek Dogra,Govinda,Digangana Suryavanshi,Varun Sharma
9347,293,2017,Mirror Game,113 min,"Crime, Mystery, Thriller",6.1,222,Vijit Sharma,Parvin Dabas,Dhruv Bali,Pooja Batra
14116,294,2017,The Hungry,100 min,Drama,7.2,894,Bornila Chatterjee,Naseeruddin Shah,Tisca Chopra,Neeraj Kabi
9289,295,2017,Meri Pyaari Bindu,117 min,"Comedy, Drama, Romance",6,4495,Akshay Roy,Ayushmann Khurrana,Parineeti Chopra,Aarnaa Sharma
14839,296,2017,Viceroy's House,106 min,"Biography, Drama, History",6.7,7117,Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Manish Dayal
12681,297,2017,Seeking True Love,116 min,"Comedy, Romance",7.5,20275,Ashwiny Iyer Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao
5234,298,2017,Guest iin London,132 min,Comedy,5.4,1770,Ashwani Dhir,Kartik Aaryan,Kriti Kharbanda,Paresh Rawal
850,299,2017,Alif,120 min,Drama,6.5,137,Zaigham Imam,Neelima Azim,Pawan Tiwari,Bhavna Pani
12044,300,2017,Running Shaadi,114 min,"Comedy, Romance",6.6,2440,Amit Roy,Arsh Bajwa,Taapsee Pannu,Richa Meena
2371,301,2017,Bioscopewala,91 min,Drama,7.6,882,Deb Medhekar,Danny Denzongpa,Geetanjali Thapa,Adil Hussain
3753,302,2017,Dhh,128 min,"Drama, Family",7.8,235,Manish Saini,Naseeruddin Shah,Kahaan,Karan Patel
14347,303,2017,Tikli and Laxmi Bomb,151 min,Drama,7.9,1785,Aditya Kripalani,Chitrangada Chakraborty,Vibhawari Deshpande,Saharsh Kumar Shukla
4789,304,2017,Fukrey Returns,141 min,Comedy,6.5,4890,Mrighdeep Lamba,Pulkit Samrat,Varun Sharma,Ali Fazal
12728,305,2017,Shaadi Mein Zaroor Aana,137 min,"Drama, Romance",7.6,13387,Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina
14531,306,2017,Tumhari Sulu,150 min,"Comedy, Drama",7,4761,Suresh Triveni,Vidya Balan,Manav Kaul,Neha Dhupia
11387,307,2017,Raag Desh,135 min,"Action, Drama, History",8.1,376,Tigmanshu Dhulia,Kunal Kapoor,Amit Sadh,Mohit Marwah
7076,308,2017,Kadamban,142 min,"Action, Adventure, Drama",5.3,417,N. Ragavan,Arya,Catherine Tresa,Deepraj Rana
10931,309,2017,Poorna,100 min,"Action, Adventure, Biography",7.8,1343,Rahul Bose,Prashant Pandey,Aditi Inamdar,Rahul Bose
14377,310,2017,Toilet: A Love Story,155 min,"Comedy, Drama",7.2,18889,Shree Narayan Singh,Anupam Kher,Akshay Kumar,Bhumi Pednekar
1654,311,2017,Badrinath Ki Dulhania,139 min,"Comedy, Drama, Romance",6.1,10865,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid
11384,312,2017,Raabta,147 min,"Action, Drama, Fantasy",5.1,6311,Dinesh Vijan,Deepika Padukone,Sushant Singh Rajput,Rajkummar Rao
8302,313,2017,Love and Shukla,107 min,"Comedy, Drama, Romance",7.4,828,Jatla Siddartha,Saharsh Kumar Shukla,Taneea Rajawat,Hima Singh
14812,314,2017,Veeram,100 min,"Action, Drama, History",6.4,222,Jayaraaj,Kunal Kapoor,Himarsha Venkatsamy,Aaran
14077,315,2017,The Ghazi Attack,116 min,"Action, Thriller, War",7.6,12367,Sankalp Reddy,Rana Daggubati,Kay Kay Menon,Atul Kulkarni
9480,316,2017,Mom,146 min,"Crime, Drama, Thriller",7.3,9395,Ravi Udyawar,Sridevi,Sajal Ali,Akshaye Khanna
14111,317,2017,The House Next Door,137 min,Horror,6.8,2139,Milind Rau,Prakash Belawadi,Khushi Hajare,Andrea Jeremiah
10938,318,2017,Poster Boys,128 min,Comedy,5.4,1446,Shreyas Talpade,Sunny Deol,Bobby Deol,Shreyas Talpade
7908,319,2017,Kuldip Patwal: I Didn't Do It!,128 min,"Crime, Drama, Mystery",6.6,614,Remy Kohli,Deepak Dobriyal,Gulshan Devaiah,Raima Sen
10310,320,2017,OK Jaanu,135 min,"Drama, Romance",5.2,3883,Shaad Ali,Aditya Roy Kapoor,Shraddha Kapoor,Naseeruddin Shah
15231,321,2017,Yeh Hai India,128 min,"Action, Adventure, Drama",5.2,175,Lom Harsh,Gavie Chahal,Mohan Agashe,Mohan Joshi
8208,322,2017,LIE,145 min,"Action, Adventure, Thriller",5.9,880,Hanu Raghavapudi,Nithiin,Megha Akash,Ravi Kishan
11342,323,2017,Qarib Qarib Single,125 min,"Comedy, Romance",7.1,7382,Tanuja Chandra,Irrfan Khan,Parvathy Thiruvothu,Neha Dhupia
3317,324,2017,Daddy,134 min,"Action, Biography, Crime",6.4,1886,Ashim Ahluwalia,Arjun Rampal,Aishwarya Rajesh,Nishikant Kamat
6169,325,2017,Irada,109 min,"Drama, Mystery, Thriller",6.3,1284,Aparnaa Singh,Naseeruddin Shah,Arshad Warsi,Divya Dutta
12031,326,2017,Rukh,106 min,"Drama, Mystery",6.4,596,Atanu Mukherjee,Manoj Bajpayee,Smita Tambe,Adarsh Gourav
9587,327,2017,Mubarakan,156 min,"Comedy, Romance",5.5,3629,Anees Bazmee,Anil Kapoor,Arjun Kapoor,Ileana D'Cruz
14626,328,2017,Union Leader,106 min,Drama,7.3,694,Sanjay Patel,Rahul Bhatt,Tillotama Shome,Zala Akash
9827,329,2017,Naam Shabana,147 min,"Action, Thriller",6.3,5924,Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee
1986,330,2017,Behen Hogi Teri,128 min,Comedy,5.6,1873,Ajay Pannalal,Arvind Singh Rajpoot,Rajkummar Rao,Shruti Haasan
13176,331,2017,Shuddhi,114 min,"Crime, Drama, Thriller",7.9,374,Adarsh Eshwarappa,Lauren Spartano,Niveditha,Amrutha Karagada
11762,332,2017,Rangoon,170 min,"Action, Drama, History",5.6,3903,Vishal Bhardwaj,Kangana Ranaut,Shahid Kapoor,Saif Ali Khan
762,333,2017,Ajji,104 min,Drama,6.9,973,Devashish Makhija,Sushama Deshpande,Smita Tambe,Sharvani Suryavanshi
14212,334,2017,The Rally,130 min,"Action, Drama, Romance",7.3,249,Deepak Anand,Mirza,Arshin Mehta,Sachin Chhabra
12668,335,2017,Secret Superstar,150 min,"Drama, Music",7.8,21923,Advait Chandan,Zaira Wasim,Meher Vij,Raj Arjun
3212,336,2017,Commando 2,144 min,"Action, Adventure, Thriller",5.3,3015,Deven Bhojani,Vidyut Jammwal,Adah Sharma,Esha Gupta
2194,337,2017,Bhasmasur,74 min,Drama,6.8,132,Nishil Sheth,Imran Rasheed,Mittal Chouhan,Trimala Adhikari
12165,338,2017,Sachin - A Billion Dreams,138 min,"Documentary, Sport",8.6,7711,James Erskine,Sachin Tendulkar,Mikhail Gandhi,Anjali Tendulkar
1510,339,2017,Baaraat Company,124 min,"Comedy, Romance",6.2,179,Syed Ahmad Afzal,Sandeepa Dhar,Archana Gautam,Anurita Jha
13172,340,2017,Shubh Mangal Savdhan,119 min,"Comedy, Romance",6.9,9094,R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava
8908,341,2017,Maroon,94 min,Thriller,5.1,291,Pulkit,Devyani Cm,Manav Kaul,Saurabh Sachdeva
1978,342,2017,Begum Jaan,128 min,"Action, Drama, History",5.6,2626,Srijit Mukherji,Amitabh Bachchan,Pallavi Sharda,Naseeruddin Shah
10167,343,2017,Newton,106 min,"Comedy, Drama",7.7,17734,Amit Masurkar,Rajkummar Rao,Pankaj Tripathi,Anjali Patil
11890,344,2017,Ribbon,106 min,"Drama, Family",6.9,604,Rackhee Sandilya,Kalki Koechlin,Sumeet Vyas,Pathy Aiyar
5716,345,2017,Hind Ka Napak Ko Jawab,130 min,"Action, Thriller",6.6,3993,Honeypreet Insan,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Honeypreet Insan
8374,346,2017,Lucknow Central,133 min,"Action, Crime, Drama",6.2,2690,Ranjit Tewari,Farhan Akhtar,Diana Penty,Inaamulhaq
7583,347,2017,Khoj,116 min,"Crime, Mystery, Thriller",6.8,449,Arka Ganguly,Vikram Chatterjee,Shataf Figar,Poonam Gurung
6961,348,2017,Kaagaz Ki Kashti,127 min,Documentary,8.9,203,Brahmanand S. Singh,Ghulam Ali,Talat Aziz,Mahesh Bhatt
6563,349,2017,Jattu Engineer,139 min,Comedy,5.8,3336,Honeypreet Insan,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Amardeep Insan
3855,350,2017,Dil Jo Na Keh Saka,130 min,Romance,5.3,103,Naresh Lalwani,Himansh Kohli,Priya Banerjee,Bhuvnesh Mann
6016,351,2017,III Smoking Barrels,127 min,Drama,6.5,117,Sanjib Dey,Subrat Dutta,Indraneil Sengupta,Mandakini Goswami
13226,352,2017,Simran,124 min,"Crime, Drama, Thriller",5.1,3254,Hansal Mehta,Kangana Ranaut,Sohum Shah,Esha Tewari
6806,353,2017,Jolly LLB 2,137 min,"Comedy, Drama",7.2,23030,Subhash Kapoor,Akshay Kumar,Huma Qureshi,Saurabh Shukla
6077,354,2017,Indu Sarkar,139 min,"Drama, Thriller",6,1446,Madhur Bhandarkar,Kirti Kulhari,Tota Roy Chowdhury,Neil Nitin Mukesh
14010,355,2017,The Brawler,154 min,"Action, Drama, Sport",8,6847,Anurag Kashyap,Vineet Kumar Singh,Jimmy Sheirgill,Zoya Hussain
6384,356,2017,Jagga Jasoos,161 min,"Action, Adventure, Comedy",6.5,9428,Anurag Basu,Ranbir Kapoor,Katrina Kaif,Saswata Chatterjee
1844,357,2017,Bank Chor,120 min,"Action, Comedy, Crime",5.9,2603,Bumpy,Riteish Deshmukh,Vivek Oberoi,Rhea Chakraborty
976,358,2017,Anaarkali of Aarah,113 min,Drama,5.9,1636,Avinash Das,Pankaj Tripathi,Swara Bhaskar,Sanjay Mishra
2933,359,2017,Chef,133 min,"Comedy, Drama, Family",5.7,2229,Raja Menon,Saif Ali Khan,Padmapriya,Svar Kamble
2059,360,2017,Beyond the Clouds,120 min,"Drama, Family",7,2148,Majid Majidi,Ishaan Khattar,Malavika Mohanan,Goutam Ghose
2270,361,2017,Bhoomi,136 min,"Action, Crime, Drama",5.3,1755,Omung Kumar,Sharad Kelkar,Sunny Leone,Aditi Rao Hydari
6043,362,2017,In the Shadows,117 min,"Drama, Thriller",7.1,577,Dipesh Jain,Manoj Bajpayee,Ranvir Shorey,Neeraj Kabi
45,363,2017,1982 - A Love Marriage,113 min,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
1553,364,2017,Babumoshai Bandookbaaz,122 min,"Action, Crime, Thriller",6.9,1974,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami
13842,365,2017,Tawai: A Voice from the Forest,101 min,Documentary,7.4,238,Bruce Parry,Mark Ellam,Bruce Parry,Ingrid Lewis
10785,366,2017,Phillauri,138 min,"Comedy, Drama, Fantasy",6.1,3596,Anshai Lal,Anushka Sharma,Diljit Dosanjh,Suraj Sharma
14250,367,2017,The Song of Scorpions,119 min,Drama,5.9,294,Anup Singh,Golshifteh Farahani,Irrfan Khan,Waheeda Rehman
11470,368,2017,Raees,143 min,"Action, Crime, Drama",6.8,41441,Rahul Dholakia,Raj Arjun,Shubham Chintamani,Shubham Tukaram
8709,369,2017,Main Tumhare Bachche ki Maa Banne Waali Hoon,45 min,Romance,6.8,101,Ashish Lal,Sadiya Azgar,Dhanraj Kadam,Ashish Lal
12093,370,2017,Saanjh,109 min,"Drama, Family",8.2,173,Ajay K Saklani,Asif Basra,Tanu Bhardwaj,Aditi Charak
10325,371,2017,Omerta,98 min,"Action, Biography, Crime",7.2,2851,Hansal Mehta,Rajkummar Rao,Rajesh Tailang,Satwant Kaur
6950,372,2017,Kaabil,139 min,"Action, Crime, Drama",7.1,24942,Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy
3528,373,2017,Dear Maya,111 min,"Drama, Romance",5.8,390,Sunaina Bhatnagar,Manisha Koirala,Madiha Imam,Shreya Chaudhary
6243,374,2017,Ittefaq,105 min,"Crime, Mystery, Thriller",7.2,10842,Abhay Chopra,Sidharth Malhotra,Sonakshi Sinha,Akshaye Khanna
168,375,2017,A Suitable Girl,90 min,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,
12304,376,2017,Sameer,129 min,Drama,5.4,219,Dakxin Bajrange,Mohd. Zeeshan Ayyub,Master Shubham Bajrange,Jay Bhatt
7083,377,2017,Kadvi Hawa,95 min,Drama,8.1,985,Nila Madhab Panda,Nilamadhab Panda,Sanjay Mishra,Ranvir Shorey
5480,378,2017,Hanuman Da Damdaar,105 min,"Animation, Family",5.4,131,Ruchi Narain,Salman Khan,Sunny Deol,Raveena Tandon
6332,379,2017,Jab Harry Met Sejal,143 min,"Comedy, Drama, Romance",5.3,19349,Imtiaz Ali,Shah Rukh Khan,Anushka Sharma,Bj???rn Freiberg
5721,380,2017,Hindi Medium,132 min,"Comedy, Drama",7.9,24676,Saket Chaudhary,Irrfan Khan,Saba Qamar,Dishita Sehgal
10841,381,2017,Phullu,96 min,"Comedy, Drama",6,189,Abhishek Saxena,Sharib Hashmi,Jyoti Sethi,Nutan Surya
8276,382,2017,Long Live Brij Mohan,105 min,"Comedy, Crime, Drama",6.8,2573,Nikhil Bhat,Arjun Mathur,Nidhi Singh,Sheetal Thakur
14343,383,2017,Tiger Zinda Hai,161 min,"Action, Adventure, Thriller",5.9,25732,Ali Abbas Zafar,Salman Khan,Katrina Kaif,Anupriya Goenka
150,384,2017,A Gentleman,145 min,"Action, Comedy",6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
732,385,2016,Airlift,130 min,"Drama, History",8,53897,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra
3527,386,2016,Dear Dad,95 min,"Drama, Family",6.3,384,Tanuj Bhramar,Arvind Swamy,Ekavali Khanna,Himanshu Sharma
2999,387,2016,Chhota Bheem Himalayan Adventure,97 min,Animation,5.5,117,Rosauro Adorable,Jigna Bhardwaj,Rupa Bhimani,Sonal Kaushal
2709,388,2016,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,134 min,Animation,8.6,656,Harry Baweja,Harman Baweja,Pawan Kalra,Om Puri
8196,389,2016,Lens,109 min,"Drama, Mystery, Thriller",6.7,1111,Jayaprakash Radhakrishnan,Anand Sami,Jayaprakash Radhakrishnan,Misha Ghoshal
5116,390,2016,Global Baba,120 min,Thriller,5.6,184,Manoj Shidheshwari Tiwari,Pankaj Tripathi,Sandeepa Dhar,Abhimanyu Singh
14193,391,2016,The Other Side of the Door,96 min,Horror,5.3,17337,Johannes Roberts,Sarah Wayne Callies,Jeremy Sisto,Sofia Rosinsky
13104,392,2016,Shor Se Shuruaat,125 min,Drama,6.6,145,Amira Bhargava,Rahul V. Chittella,Satish Raj Kasireddi,Pratik Kothari
13998,393,2016,The BFG,117 min,"Adventure, Family, Fantasy",6.4,79642,Steven Spielberg,Mark Rylance,Ruby Barnhill,Penelope Wilton
